board_id,board_name,local_area,main_website,meeting_schedule_url,agenda_minutes_url,executive_committee_url,notes,last_checked_at,confidence
san-luis-obispo-county-wdb,San Luis Obispo County WDB,San Luis Obispo County,https://www.sloworkforce.com/,https://www.slocounty.ca.gov/Departments/Social-Services/Workforce-Development-Board/Board.aspx,https://www.sloworkforce.com/,https://www.slocounty.ca.gov/departments/social-services/workforce-development-board/meetings/executive-committee-meeting-06-10-2026,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:41.563791+00:00,medium
santa-ana-wdb,Santa Ana WDB,City of Santa Ana,https://www.santa-ana.org/workforce-development-board/,https://www.santa-ana.org/agenda-notifications/,https://www.santa-ana.org/agenda-notifications/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:42.788414+00:00,medium
santa-barbara-county-wdb,Santa Barbara County WDB,Santa Barbara County,http://www.countyofsb.org/wdb,http://www.countyofsb.org/wdb,http://www.countyofsb.org/wdb,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:43.084504+00:00,medium
santa-clara-county-work2future,Santa Clara County (work2future),San Jose & Santa Clara,https://www.work2future.org/,https://www.work2future.org/board/,https://www.work2future.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:44.340519+00:00,medium
santa-cruz-county-wdb,Santa Cruz County WDB,Santa Cruz County,https://www.santacruzwdb.com/,https://www.santacruzhumanservices.org/FamilyChildren/SystemImprovementPlan(SIP)/SIPSteeringCommittee,https://www.santacruzhumanservices.org/Home/AboutUs/CommissionsCommittees/HumanServicesCommission(Retired)/PriorYearHumanServicesCommissionAgendas,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:47.093187+00:00,medium
solano-county-wdb,Solano County WDB,Solano County,https://www.solanowdb.org/,https://www.solanowdb.org/,https://www.solanowdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:50.599060+00:00,medium
sonoma-county-wdb,Sonoma County WDB,Sonoma County,https://sonomawdb.org/,https://sonomawdb.org/,https://sonomawdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:51.627474+00:00,medium
south-bay-wib,South Bay WIB,"Inglewood, Torrance, Carson, Hawthorne, Lawndale, El Segundo, Gardena, Lomita, Hermosa Beach, and Manhattan Beach, Redondo Beach",https://www.sbwib.org/,https://www.sbwib.org/2026-meeting-agendas,https://www.sbwib.org/2026-meeting-agendas,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:52.448486+00:00,medium
stanislaus-county-wdb,Stanislaus County WDB,Stanislaus County,https://www.stanworkforce.com/,https://www.stanworkforce.com/workforce-board/,https://www.stanworkforce.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:53.064019+00:00,medium
tulare-county-wib,Tulare County WIB,Tulare County,https://employmentconnection.org/,https://employmentconnection.org/,https://employmentconnection.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:53.778967+00:00,medium
ventura-county-wdb,Ventura County WDB,Ventura County,https://vcwdb.org/,https://vcwdb.org/,https://vcwdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:54.804452+00:00,medium
verdugo-wdb,Verdugo WDB,"Burbank, Glendale, La Cañada Flintridge",https://www.verdugowdb.org/,https://www.verdugowdb.org/,https://www.verdugowdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:55.833152+00:00,medium
workforce-alliance-north-bay,Workforce Alliance North Bay,"Lake, Marin, Mendocino, Napa",https://www.workforcealliancenorthbay.org/,https://www.workforcealliancenorthbay.org/board-governance/,https://www.workforcealliancenorthbay.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:57.029652+00:00,medium
yolo-county-wdb,Yolo County WDB,Yolo County,https://www.yoloworks.org/,https://www.yoloworks.org/,https://www.yoloworks.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:57.181188+00:00,medium
